Bankleitzahl,BIC
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030133,VGAGDEHHXXX
20030300,CHDBDEHHXXX
20030400,MCRDDEHHXXX
20030600,SYBKDE22HAM
20030700,MEFIDEMM200
20030900,WOELDEHHXXX
20040000,COBADEHHXXX
20040000,COBADEFF231
20040000,COBADEFF201
20040000,COBADEFF204
20040000,COBADEFF213
20040000,COBADEFF202
20040000,COBADEFF198
20040000,COBADEFF207
20040000,COBADEFF203
20040000,COBADEFF205
20040000,COBADEFF199
20040020,COBADEFFS02
20040040,COBADEFFRME
20040048,COBADEFF920
20040050,COBADEFF208
20040060,COBADEFF062
20040061,COBADEFF063
20040062,COBADEFF074
20040063,COBADEFF075
20041111,COBADEHDXXX
20041133,COBADEHD001
20041144,COBADEHD044
20041155,COBADEHD055
20050000,HSHNDEHH200
20050550,HASPDEHHXXX
20050550,HASPDEHH200
20050550,
20050550,
20050550,HASPDEHH201
20050550,
20050550,
20050550,
20050550,
20050550,
20050550,
20050550,
20050550,
20050550,
20050550,
20050550,
20050550,
20060000,GENODEFF200
20069111,GENODEF1NDR
20069111,
20069125,GENODEF1KLK
20069125,
20069125,
20069125,
20069130,GENODEF1BBR
20069130,
20069130,
20069130,
20069130,
20069130,
20069130,
20069130,
20069130,
20069130,
20069130,
20069130,
20069144,GENODEF1SST
20069144,
20069177,
20069177,
20069177,
20069177,
20069177,
20069177,
20069177,GENODEF1GRS
20069177,
20069177,
20069177,
20069177,
20069177,
20069177,
20069177,
20069177,
20069232,GENODEF1STV
20069232,
20069641,GENODEF1OWS
20069641,
20069641,
20069780,GENODEF1AST
20069780,
20069782,GENODEF1APE
20069782,
20069782,
20069782,
20069782,
20069782,
20069782,
20069782,
20069782,
20069782,
20069782,
20069786,GENODEF1DRO
20069786,
20069786,
20069786,
20069786,
20069786,
20069786,
20069800,GENODEF1HAA
20069800,
20069800,
20069812,GENODEF1FRB
20069812,
20069812,
20069815,GENODEF1815
20069815,
20069815,
20069861,GENODEF1RRZ
20069861,
20069861,
20069861,
20069882,
20069882,GENODEF1RLT
20069965,GENODEF1WIM
20069965,
20069965,
20069989,GENODEF1WUL
20069989,
20069989,
20070000,DEUTDEHHXXX
20070000,DEUTDEHH205
20070000,DEUTDEHH202
20070000,DEUTDEHH207
20070000,DEUTDEHH219
20070000,DEUTDEHH221
20070000,DEUTDEHH241
20070000,DEUTDEHH201
20070000,DEUTDEHH200
20070000,DEUTDEHH203
20070000,DEUTDEHH209
20070000,DEUTDEHH206
20070000,DEUTDEHH204
20070000,DEUTDEHH211
20070000,DEUTDEHH213
20070024,DEUTDEDBHAM
20070024,DEUTDEDB201
20070024,DEUTDEDB219
20070024,DEUTDEDB207
20070024,DEUTDEDB211
20070024,DEUTDEDB241
20070024,DEUTDEDB221
20070024,DEUTDEDB205
20070024,DEUTDEDB200
20070024,DEUTDEDB203
20070024,DEUTDEDB202
20070024,DEUTDEDB206
20070024,DEUTDEDB213
20070024,DEUTDEDB209
20070024,DEUTDEDB204
20080000,DRESDEFF200
20080000,
20080000,
20080000,
20080000,
20080000,
20080000,
20080055,DRESDEFF207
20080057,DRESDEFF208
20080085,DRESDEFFI56
20080086,DRESDEFFI63
20080087,DRESDEFFI64
20080088,DRESDEFFI74
20080089,DRESDEFFI75
20080091,DRESDEFFJ33
20080092,DRESDEFFJ34
20080093,DRESDEFFJ35
20080094,DRESDEFFJ36
20080095,DRESDEFFJ37
20089200,DRESDEFFI06
20090400,DGHYDEH1XXX
20090500,GENODEF1S15
20090602,DAAEDED1002
20090700,EDEKDEHHXXX
20090700,
20090745,EDECDEH1XXX
20090900,GENODEF1P08
20110022,PBNKDEFFXXX
20110401,
20110700,BOTKDEH1XXX
20110800,BKCHDEFFHMB
20120000,BEGODEHHXXX
20120100,WBWCDEHHXXX
20120200,BHFBDEFF200
20120400,DRBKDEH1XXX
20120600,GOGODEH1XXX
20120700,HSTBDEHHXXX
20120701,HSTBDEH1OV1
20120744,HSTBDEH1NKO
20120766,HSTBDEH1NKS
20130400,GREBDEH1XXX
20130412,
20130600,
20130600,BARCDEHAXXX
20133300,SCFBDE33XXX
20190003,GENODEF1HH2
20190003,
20190003,
20190003,
20190003,
20190003,
20190003,
20190109,GENODEF1HH4
20190109,
20190109,
20190109,
20190109,
20190109,
20190109,
20190109,
20190109,
20190109,
20190109,
20190109,
20190206,GENODEF1HH1
20190206,
20190301,GENODEF1HH3
20190301,
20190800,GENODEF1MKB
20210200,
20210300,
20220100,DNBADEHXXXX
20220400,MMWHDEH1XXX
20230300,OSCBDEH1XXX
20230600,ISBKDEFXHAM
20230800,MHSBDEHBXXX
20310300,
20310600,ABNADEFFHAM
20320500,DABADEHHXXX
20350000,WELADEHHXXX
